2;O;60
1;F;65
2;F;20
1;F;60
3;O;26
2;M;95
2;O;92
2;O;43
3;F;72
1;F;75
1;O;62
2;F;47
1;F;94
2;O;52
2;O;24
1;F;33
2;M;93
3;O;69
1;F;64
2;F;76
1;F;89
1;M;78
1;F;76
1;F;57
3;O;54
3;M;73
3;F;78
3;F;77
1;O;18
1;F;44
3;M;53
3;M;32
2;O;67
1;M;74
1;O;33
1;O;80
3;O;82
3;O;31
2;O;22
3;O;54
3;F;55
2;O;75
2;M;69
1;O;39
3;M;86
2;M;31
1;F;38
1;O;94
1;M;89
3;O;55
3;O;90
3;O;71
2;M;95
1;F;71
2;F;95
1;M;48
3;O;21
2;M;73
3;M;36
1;M;44
1;M;19
1;M;54
3;O;64
3;M;88
2;O;41
3;F;35
4;F;93
3;O;65
4;F;75
2;M;46
2;F;42
3;O;69
4;O;75
2;O;89
1;O;64
2;O;26
1;M;69
3;O;23
1;M;52
3;O;61
3;M;64
3;O;21
1;F;62
3;M;77
1;M;66
2;M;43
1;F;88
3;O;38
1;M;84
2;O;67
7;M;43
1;O;34
1;O;87
2;M;89
2;F;70
2;O;61
1;F;87
3;F;36
2;F;63
2;O;56
2;M;30
2;F;20
3;F;30
3;F;34
7;O;59
2;O;78
2;O;71
2;O;66
3;M;21
3;F;20
7;F;88
1;M;71
2;F;73
1;M;72
1;M;20
3;M;20
2;O;59
3;F;34
1;F;79
3;F;70
1;M;92
2;M;79
2;F;25
2;O;88
1;F;88
1;O;46
2;M;47
7;O;74
1;M;34
1;F;22
1;O;64
1;F;93
1;M;51
2;O;26
1;M;60
1;O;66
1;F;49
2;F;80
3;F;35
4;F;20
3;O;92
1;F;94
2;F;76
2;M;84
1;F;46
1;F;22
2;M;37
-1;F;20
3;F;82
2;F;52
2;F;26
6;M;54
3;M;53
1;O;38
3;O;40
2;O;22
2;F;76
2;O;75
1;F;36
1;M;53
7;M;37
1;F;63
3;M;38
3;F;39
3;F;50
2;F;22
1;O;91
1;O;48
1;M;19
2;O;56
1;M;43
4;O;59
1;F;51
3;M;45
2;O;24
1;F;75
2;M;53
3;M;72
1;M;88
1;M;70
3;O;63
1;F;25
1;M;83
2;F;63
2;M;38
1;O;62
1;O;95
1;M;19
2;M;60
3;M;73
2;M;92
2;O;54
3;F;39
2;M;25
-1;M;27
7;M;63
3;O;83
2;F;50
3;M;36
1;M;34
2;F;90
3;O;94
1;M;88
3;M;77
1;O;50
2;F;73
3;M;18
2;O;85
4;F;39
4;F;39
1;O;85
1;F;66
3;O;73
3;M;41
2;F;49
3;F;88
1;M;57
3;M;80
2;F;87
1;F;39
1;M;31
